"id","category","type","declared_learn_sources","special_system","mechanism_hints"
"frostbreath","Special","Ice","data-only:tm;implemented:egg;implemented:level;implemented:tm","","settlement"
"frustration","Physical","Normal","data-only:legacy;implemented:legacy;implemented:level","","custom-callback-review;settlement"
"furyattack","Physical","Normal","data-only:level;implemented:egg;implemented:level","","settlement;timing"
"furycutter","Physical","Bug","data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:level;implemented:tm;implemented:tutor","","custom-callback-review;settlement"
"furyswipes","Physical","Normal","data-only:level;implemented:egg;implemented:legacy;implemented:level;implemented:special;implemented:tm","","settlement;timing"
"fusionbolt","Physical","Electric","data-only:level;data-only:special","","custom-callback-review;settlement"
"fusionflare","Special","Fire","data-only:level;data-only:special","","custom-callback-review;settlement"
"futuresight","Special","Psychic","data-only:level;data-only:tm;implemented:egg;implemented:legacy;implemented:level;implemented:tm","","custom-callback-review;settlement"
"gastroacid","Status","Poison","data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:level;implemented:tm;implemented:tutor","","custom-callback-review;state"
"geargrind","Physical","Steel","implemented:level","","settlement;timing"
"gearup","Status","Steel","data-only:level;implemented:level","","custom-callback-review"
"genesissupernova","Special","Psychic","","Z","settlement;special-system;state"
"geomancy","Status","Fairy","implemented:level","","custom-callback-review;state;timing"
"gigadrain","Special","Grass","data-only:level;data-only:tm;data-only:tutor;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","health-operation;settlement"
"gigaimpact","Physical","Normal","data-only:level;data-only:tm;data-only:tutor;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","settlement;state;timing"
"gigatonhammer","Physical","Steel","implemented:level","","settlement"
"gigavolthavoc","Physical","Electric","","Z","settlement;special-system"
"glaciallance","Physical","Ice","data-only:level","","settlement"
"glaciate","Special","Ice","data-only:level;data-only:special","","settlement;state"
"glaiverush","Physical","Dragon","data-only:level","","settlement;state"
"glare","Status","Normal","data-only:egg;data-only:level;implemented:egg;implemented:level","","state"
"glitzyglow","Special","Psychic","","","settlement;state"
"gmaxbefuddle","Physical","Bug","","Max","settlement;special-system;state"
"gmaxcannonade","Physical","Water","","Max","settlement;special-system;state"
"gmaxcentiferno","Physical","Fire","","Max","settlement;special-system;state"
"gmaxchistrike","Physical","Fighting","","Max","settlement;special-system;state"
"gmaxcuddle","Physical","Normal","","Max","settlement;special-system;state"
"gmaxdepletion","Physical","Dragon","","Max","settlement;special-system;state"
"gmaxdrumsolo","Physical","Grass","","Max","settlement;special-system"
"gmaxfinale","Physical","Fairy","","Max","settlement;special-system;state"
"gmaxfireball","Physical","Fire","","Max","settlement;special-system"
"gmaxfoamburst","Physical","Water","","Max","settlement;special-system;state"
"gmaxgoldrush","Physical","Normal","","Max","settlement;special-system;state"
"gmaxgravitas","Physical","Psychic","","Max","settlement;special-system;state"
"gmaxhydrosnipe","Physical","Water","","Max","settlement;special-system"
"gmaxmalodor","Physical","Poison","","Max","settlement;special-system;state"
"gmaxmeltdown","Physical","Steel","","Max","settlement;special-system;state"
"gmaxoneblow","Physical","Dark","","Max","settlement;special-system"
"gmaxrapidflow","Physical","Water","","Max","settlement;special-system"
"gmaxreplenish","Physical","Normal","","Max","settlement;special-system;state"
"gmaxresonance","Physical","Ice","","Max","settlement;special-system;state"
"gmaxsandblast","Physical","Ground","","Max","settlement;special-system;state"
"gmaxsmite","Physical","Fairy","","Max","settlement;special-system;state"
"gmaxsnooze","Physical","Dark","","Max","custom-callback-review;settlement;special-system"
"gmaxsteelsurge","Physical","Steel","","Max","settlement;special-system;state"
"gmaxstonesurge","Physical","Water","","Max","settlement;special-system;state"
"gmaxstunshock","Physical","Electric","","Max","settlement;special-system;state"
"gmaxsweetness","Physical","Grass","","Max","settlement;special-system;state"
"gmaxtartness","Physical","Grass","","Max","settlement;special-system;state"
"gmaxterror","Physical","Ghost","","Max","settlement;special-system;state"
"gmaxvinelash","Physical","Grass","","Max","settlement;special-system;state"
"gmaxvolcalith","Physical","Rock","","Max","settlement;special-system;state"
"gmaxvoltcrash","Physical","Electric","","Max","settlement;special-system;state"
"gmaxwildfire","Physical","Fire","","Max","settlement;special-system;state"
"gmaxwindrage","Physical","Flying","","Max","settlement;special-system;state"
"grassknot","Special","Grass","data-only:tm;implemented:level;implemented:tm","","custom-callback-review;settlement"
"grasspledge","Special","Grass","data-only:tm;data-only:tutor;implemented:tm;implemented:tutor","","custom-callback-review;settlement"
"grasswhistle","Status","Grass","data-only:legacy;data-only:level;implemented:egg;implemented:level","","state"
"grassyglide","Physical","Grass","data-only:tm;data-only:tutor;implemented:legacy;implemented:tm;implemented:tutor","","custom-callback-review;settlement"
"grassyterrain","Status","Grass","data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:tm","","field"
"gravapple","Physical","Grass","implemented:level","","custom-callback-review;settlement;state"
"gravity","Status","Psychic","data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","field"
"growl","Status","Normal","data-only:level;implemented:legacy;implemented:level;implemented:tm","","state"
"growth","Status","Normal","data-only:egg;data-only:level;implemented:egg;implemented:level","","custom-callback-review;state"
"grudge","Status","Ghost","implemented:egg;implemented:level;implemented:tm","","state"
"guardianofalola","Special","Fairy","","Z","custom-callback-review;settlement;special-system"
"guardsplit","Status","Psychic","data-only:level;implemented:egg;implemented:level","","custom-callback-review"
"guardswap","Status","Psychic","data-only:tm;implemented:egg;implemented:level;implemented:tm","","custom-callback-review"
"guillotine","Physical","Normal","data-only:level;implemented:level;implemented:tm","","health-operation;settlement"
"gunkshot","Physical","Poison","data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:level;implemented:tm;implemented:tutor","","settlement;state"
"gust","Special","Flying","data-only:level;implemented:egg;implemented:level;implemented:tm","","settlement"
"gyroball","Physical","Steel","data-only:level;data-only:tm;implemented:legacy;implemented:level;implemented:tm","","custom-callback-review;settlement"
"hail","Status","Ice","data-only:level;data-only:tm;implemented:level;implemented:tm","","field"
"hammerarm","Physical","Fighting","data-only:level;implemented:egg;implemented:level;implemented:tm","","settlement;state"
"happyhour","Status","Normal","data-only:special;implemented:special","","custom-callback-review"
"harden","Status","Normal","data-only:egg;data-only:level;implemented:egg;implemented:legacy;implemented:level;implemented:tm","","state"
"hardpress","Physical","Steel","data-only:tm;implemented:tm","","custom-callback-review;settlement"
"haze","Status","Ice","data-only:level;data-only:tm;implemented:egg;implemented:legacy;implemented:level;implemented:tm","","custom-callback-review"
"headbutt","Physical","Normal","data-only:level;data-only:tm;implemented:egg;implemented:legacy;implemented:level;implemented:special;implemented:tm","","settlement;state"
"headcharge","Physical","Normal","implemented:level","","health-operation;settlement"
"headlongrush","Physical","Ground","data-only:level;implemented:level","","settlement;state"
"headsmash","Physical","Rock","data-only:level;implemented:egg;implemented:level","","health-operation;settlement"
"healbell","Status","Normal","data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:level;implemented:special;implemented:tm;implemented:tutor","","custom-callback-review"
"healblock","Status","Psychic","data-only:egg;data-only:legacy;data-only:level;implemented:egg;implemented:level","","state"
"healingwish","Status","Psychic","data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:tm","","custom-callback-review"
"healorder","Status","Bug","implemented:level","","health-operation"
"healpulse","Status","Psychic","data-only:level;implemented:egg;implemented:level;implemented:special;implemented:tm","","custom-callback-review"
"heartstamp","Physical","Psychic","data-only:special;implemented:egg;implemented:level;implemented:special","","settlement;state"
"heartswap","Status","Psychic","data-only:level","","custom-callback-review"
"heatcrash","Physical","Fire","data-only:tm;implemented:level;implemented:tm","","custom-callback-review;settlement"
"heatwave","Special","Fire","data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","settlement;state"
"heavyslam","Physical","Steel","data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:tm","","custom-callback-review;settlement"
"helpinghand","Status","Normal","data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:level;implemented:tm;implemented:tutor","","custom-callback-review;state;timing"
"hex","Special","Ghost","data-only:level;data-only:tm;implemented:level;implemented:tm","","custom-callback-review;settlement"
"hiddenpower","Special","Normal","data-only:legacy;implemented:legacy;implemented:level","","custom-callback-review;settlement"
"highhorsepower","Physical","Ground","data-only:tm;data-only:tutor;implemented:egg;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","settlement"
"highjumpkick","Physical","Fighting","data-only:level;implemented:egg;implemented:level","","custom-callback-review;settlement"
"holdback","Physical","Normal","data-only:special;implemented:special","","custom-callback-review;settlement"
"holdhands","Status","Normal","implemented:special","",""
"honeclaws","Status","Dark","data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:tm","","state"
"hornattack","Physical","Normal","data-only:level;implemented:egg;implemented:legacy;implemented:level","","settlement"
"horndrill","Physical","Normal","implemented:egg;implemented:legacy;implemented:level","","health-operation;settlement"
"hornleech","Physical","Grass","data-only:level;implemented:level","","health-operation;settlement"
"howl","Status","Normal","data-only:egg;data-only:level;data-only:special;implemented:egg;implemented:level;implemented:special","","state"
"hurricane","Special","Flying","data-only:level;data-only:tm;implemented:level;implemented:tm","","custom-callback-review;settlement;state"
"hydrocannon","Special","Water","data-only:special;data-only:tutor;implemented:special;implemented:tm;implemented:tutor","","settlement;state;timing"
"hydropump","Special","Water","data-only:level;data-only:tm;implemented:egg;implemented:form_change;implemented:legacy;implemented:level;implemented:tm","","settlement"
"hydrosteam","Special","Water","implemented:level","","settlement"
"hydrovortex","Physical","Water","","Z","settlement;special-system"
"hyperbeam","Special","Normal","data-only:level;data-only:tm;data-only:tutor;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","settlement;state;timing"
"hyperdrill","Physical","Normal","implemented:level","","settlement"
"hyperfang","Physical","Normal","implemented:level","","settlement;state"
"hyperspacefury","Physical","Dark","data-only:legacy;data-only:level","","custom-callback-review;settlement;state"
"hyperspacehole","Special","Psychic","data-only:level","","settlement"
"hypervoice","Special","Normal","data-only:level;data-only:tm;data-only:tutor;implemented:level;implemented:tm;implemented:tutor","","settlement"
"hypnosis","Status","Psychic","data-only:level;implemented:egg;implemented:level;implemented:special","","state"
"iceball","Physical","Ice","implemented:level;implemented:tm;implemented:tutor","","custom-callback-review;settlement"
"icebeam","Special","Ice","data-only:level;data-only:tm;data-only:tutor;implemented:level;implemented:tm;implemented:tutor","","settlement;state"
"iceburn","Special","Ice","data-only:level","","custom-callback-review;settlement;state;timing"
"icefang","Physical","Ice","data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:level;implemented:tm;implemented:tutor","","settlement;state"
"icehammer","Physical","Ice","implemented:egg;implemented:level","","settlement;state"
"icepunch","Physical","Ice","data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","settlement;state"
"iceshard","Physical","Ice","data-only:level;implemented:egg;implemented:level","","settlement;timing"
"icespinner","Physical","Ice","data-only:tm;implemented:level;implemented:tm","","custom-callback-review;settlement"
"iciclecrash","Physical","Ice","data-only:level;implemented:egg;implemented:level;implemented:tm","","settlement;state"
"iciclespear","Physical","Ice","data-only:egg;data-only:legacy;data-only:tm;implemented:level;implemented:tm","","settlement;timing"
"icywind","Special","Ice","data-only:level;data-only:tm;data-only:tutor;implemented:level;implemented:tm;implemented:tutor","","settlement;state"
"imprison","Status","Psychic","data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:tm","","state"
"incinerate","Special","Fire","data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:tm","","custom-callback-review;settlement"
"infernalparade","Special","Ghost","implemented:level","","custom-callback-review;settlement;state"
"inferno","Special","Fire","data-only:level;implemented:egg;implemented:legacy;implemented:level","","settlement;state"
"infernooverdrive","Physical","Fire","","Z","settlement;special-system"
"infestation","Special","Bug","data-only:egg;data-only:tm;implemented:egg;implemented:level;implemented:tm","","settlement;state"
"ingrain","Status","Grass","data-only:level;implemented:egg;implemented:level","","state"
"instruct","Status","Psychic","data-only:level","","custom-callback-review"
"iondeluge","Status","Electric","data-only:level;implemented:egg;implemented:level","","field;timing"
"irondefense","Status","Steel","data-only:legacy;data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","state"
"ironhead","Physical","Steel","data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:level;implemented:tm;implemented:tutor","","settlement;state"
"irontail","Physical","Steel","data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","settlement;state"
"ivycudgel","Physical","Grass","data-only:level","","custom-callback-review;settlement"
"jawlock","Physical","Dark","data-only:level;implemented:level","","custom-callback-review;settlement"
"jetpunch","Physical","Water","implemented:level","","settlement;timing"
"judgment","Special","Normal","data-only:level","","custom-callback-review;settlement"
"jumpkick","Physical","Fighting","data-only:level;implemented:egg;implemented:level","","custom-callback-review;settlement"
"junglehealing","Status","Grass","implemented:level","","custom-callback-review"
"karatechop","Physical","Fighting","implemented:egg;implemented:level","","settlement"
"kinesis","Status","Psychic","implemented:level","","state"
"kingsshield","Status","Steel","implemented:level","","custom-callback-review;state;timing"
"knockoff","Physical","Dark","data-only:egg;data-only:legacy;data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","custom-callback-review;settlement"
"kowtowcleave","Physical","Dark","implemented:level","","settlement"
"landswrath","Physical","Ground","data-only:level","","settlement"
"laserfocus","Status","Normal","data-only:level;data-only:tm;data-only:tutor;implemented:level;implemented:tm;implemented:tutor","","state"
"lashout","Physical","Dark","data-only:tm;data-only:tutor;implemented:tm;implemented:tutor","","custom-callback-review;settlement"
"lastresort","Physical","Normal","data-only:egg;data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:level;implemented:special;implemented:tm;implemented:tutor","","custom-callback-review;settlement"
"lastrespects","Physical","Ghost","data-only:level;implemented:egg","","custom-callback-review;settlement"
"lavaplume","Special","Fire","data-only:level;implemented:level","","settlement;state"
"leafage","Physical","Grass","data-only:level;implemented:level","","settlement"
"leafblade","Physical","Grass","data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:tm","","settlement"
"leafstorm","Special","Grass","data-only:level;data-only:tm;implemented:egg;implemented:form_change;implemented:level;implemented:tm","","settlement;state"
"leaftornado","Special","Grass","implemented:egg;implemented:level;implemented:tm","","settlement;state"
"leechlife","Physical","Bug","data-only:level;data-only:tm;data-only:tutor;implemented:level;implemented:tm;implemented:tutor","","health-operation;settlement"
"leechseed","Status","Grass","data-only:egg;data-only:level;implemented:egg;implemented:level","","custom-callback-review;state"
"leer","Status","Normal","data-only:level;implemented:egg;implemented:legacy;implemented:level;implemented:tm","","state"
"letssnuggleforever","Physical","Fairy","","Z","settlement;special-system"
"lick","Physical","Ghost","data-only:level;implemented:egg;implemented:level","","settlement;state"
"lifedew","Status","Water","data-only:level;implemented:egg;implemented:level","","health-operation"
"lightofruin","Special","Fairy","implemented:level","","health-operation;settlement"
"lightscreen","Status","Psychic","data-only:legacy;data-only:level;data-only:tm;implemented:legacy;implemented:level;implemented:tm","","field"
"lightthatburnsthesky","Special","Psychic","","Z","custom-callback-review;settlement;special-system"
"liquidation","Physical","Water","data-only:tm;data-only:tutor;implemented:level;implemented:tm;implemented:tutor","","settlement;state"
"lockon","Status","Normal","data-only:level;implemented:egg;implemented:level","","custom-callback-review"
"lovelykiss","Status","Normal","implemented:level","","state"
"lowkick","Physical","Fighting","data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:level;implemented:tm;implemented:tutor","","custom-callback-review;settlement"
"lowsweep","Physical","Fighting","data-only:level;data-only:tm;implemented:legacy;implemented:level;implemented:tm","","settlement;state"
"luckychant","Status","Normal","data-only:egg;data-only:legacy;data-only:level;implemented:egg;implemented:level","","field"
"luminacrash","Special","Psychic","implemented:level","","settlement;state"
"lunarblessing","Status","Psychic","data-only:level","","custom-callback-review"
"lunardance","Status","Psychic","data-only:level","","custom-callback-review"
"lunge","Physical","Bug","data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:tm","","settlement;state"
"lusterpurge","Special","Psychic","implemented:level","","settlement;state"
"machpunch","Physical","Fighting","data-only:egg;implemented:egg;implemented:level","","settlement;timing"
"magicalleaf","Special","Grass","data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:level;implemented:tm;implemented:tutor","","settlement"
"magicaltorque","Physical","Fairy","","","settlement;state"
"magiccoat","Status","Psychic","data-only:legacy;data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:level;implemented:tm;implemented:tutor","","state;timing"
"magicpowder","Status","Psychic","implemented:level","","custom-callback-review"
"magicroom","Status","Psychic","data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:level;implemented:tm;implemented:tutor","","field"
"magmastorm","Special","Fire","data-only:level","","settlement;state"
"magnetbomb","Physical","Steel","data-only:level;implemented:level","","settlement"
"magneticflux","Status","Electric","data-only:level;implemented:level","","custom-callback-review"
"magnetrise","Status","Electric","data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:level;implemented:tm;implemented:tutor","","custom-callback-review;state"
"magnitude","Physical","Ground","implemented:egg;implemented:level","","custom-callback-review;settlement"
"makeitrain","Special","Steel","implemented:level","","settlement;state"
"maliciousmoonsault","Physical","Dark","","Z","settlement;special-system"
"malignantchain","Special","Poison","data-only:level","","settlement;state"
"matblock","Status","Fighting","implemented:level","","custom-callback-review;field"
"matchagotcha","Special","Grass","implemented:level","","health-operation;settlement;state"
"maxairstream","Physical","Flying","","Max","settlement;special-system;state"
"maxdarkness","Physical","Dark","","Max","settlement;special-system;state"
"maxflare","Physical","Fire","","Max","settlement;special-system;state"
"maxflutterby","Physical","Bug","","Max","settlement;special-system;state"
"maxgeyser","Physical","Water","","Max","settlement;special-system;state"
"maxguard","Status","Normal","","Max","custom-callback-review;special-system;state;timing"
"maxhailstorm","Physical","Ice","","Max","settlement;special-system;state"
"maxknuckle","Physical","Fighting","","Max","settlement;special-system;state"
"maxlightning","Physical","Electric","","Max","settlement;special-system;state"
"maxmindstorm","Physical","Psychic","","Max","settlement;special-system;state"
"maxooze","Physical","Poison","","Max","settlement;special-system;state"
"maxovergrowth","Physical","Grass","","Max","settlement;special-system;state"
"maxphantasm","Physical","Ghost","","Max","settlement;special-system;state"
"maxquake","Physical","Ground","","Max","settlement;special-system;state"
"maxrockfall","Physical","Rock","","Max","settlement;special-system;state"
"maxstarfall","Physical","Fairy","","Max","settlement;special-system;state"
"maxsteelspike","Physical","Steel","","Max","settlement;special-system;state"
"maxstrike","Physical","Normal","","Max","settlement;special-system;state"
"maxwyrmwind","Physical","Dragon","","Max","settlement;special-system;state"
"meanlook","Status","Normal","data-only:egg;data-only:level;implemented:egg;implemented:level;implemented:special","","custom-callback-review"
"meditate","Status","Psychic","implemented:egg;implemented:level","","state"
"mefirst","Status","Normal","data-only:level;implemented:egg;implemented:level","","custom-callback-review"
"megadrain","Special","Grass","data-only:level;implemented:egg;implemented:legacy;implemented:level;implemented:tm","","health-operation;settlement"
"megahorn","Physical","Bug","data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","settlement"
"megakick","Physical","Normal","data-only:tm;implemented:level;implemented:tm","","settlement"
"megapunch","Physical","Normal","data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:tm","","settlement"
"memento","Status","Dark","data-only:egg;data-only:level;implemented:egg;implemented:level","","state"
"menacingmoonrazemaelstrom","Special","Ghost","","Z","settlement;special-system"
"metalburst","Physical","Steel","data-only:level;implemented:egg;implemented:level","","custom-callback-review;settlement"
"metalclaw","Physical","Steel","data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:tm","","settlement;state"
"metalsound","Status","Steel","data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:tm","","state"
"meteorassault","Physical","Fighting","implemented:level","","settlement;state;timing"
"meteorbeam","Special","Rock","data-only:tm;data-only:tutor;implemented:tm;implemented:tutor","","custom-callback-review;settlement;timing"
"meteormash","Physical","Steel","data-only:level;data-only:special;implemented:level;implemented:tm","","settlement;state"
"metronome","Status","Normal","data-only:tm;implemented:legacy;implemented:level;implemented:tm","","custom-callback-review"
"mightycleave","Physical","Rock","data-only:level","","settlement"
"milkdrink","Status","Normal","implemented:egg;implemented:level","","health-operation"
"mimic","Status","Normal","data-only:legacy;implemented:egg;implemented:legacy;implemented:level","","custom-callback-review"
"mindblown","Special","Fire","data-only:level","","custom-callback-review;settlement"
"mindreader","Status","Normal","data-only:level;implemented:egg;implemented:level;implemented:tm","","custom-callback-review"
"minimize","Status","Normal","implemented:legacy;implemented:level","","state"
"miracleeye","Status","Psychic","implemented:egg;implemented:level","","custom-callback-review;state"
"mirrorcoat","Special","Psychic","data-only:legacy;data-only:level;implemented:egg;implemented:legacy;implemented:level","","custom-callback-review;settlement;timing"
"mirrormove","Status","Flying","data-only:egg;data-only:level;implemented:egg;implemented:level","","custom-callback-review"
"mirrorshot","Special","Steel","data-only:level;implemented:egg;implemented:level","","settlement;state"
"mist","Status","Ice","data-only:egg;data-only:level;data-only:special;implemented:egg;implemented:legacy;implemented:level","","field"
"mistball","Special","Psychic","implemented:level","","settlement;state"
"mistyexplosion","Special","Fairy","data-only:tm;data-only:tutor;implemented:tm;implemented:tutor","","custom-callback-review;settlement"
"mistyterrain","Status","Fairy","data-only:level;data-only:tm;implemented:level;implemented:tm","","field"
"moonblast","Special","Fairy","data-only:level;data-only:special;implemented:egg;implemented:legacy;implemented:level","","settlement;state"
"moongeistbeam","Special","Ghost","data-only:form_change;data-only:level;data-only:tm","","settlement"
"moonlight","Status","Fairy","data-only:level;implemented:egg;implemented:level","","custom-callback-review"
"morningsun","Status","Normal","data-only:level;implemented:egg;implemented:level;implemented:special","","custom-callback-review"
"mortalspin","Physical","Poison","implemented:level","","custom-callback-review;settlement;state"
"mountaingale","Physical","Ice","implemented:level","","settlement;state"
"mudbomb","Special","Ground","data-only:egg;implemented:egg;implemented:level","","settlement;state"
"muddywater","Special","Water","data-only:level;data-only:tm;implemented:egg;implemented:legacy;implemented:level;implemented:tm","","settlement;state"
"mudshot","Special","Ground","data-only:level;data-only:tm;implemented:egg;implemented:legacy;implemented:level;implemented:tm","","settlement;state"
"mudslap","Special","Ground","data-only:egg;data-only:legacy;data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","settlement;state"
"mudsport","Status","Ground","data-only:egg;implemented:egg;implemented:level;implemented:special","","field"
"multiattack","Physical","Normal","data-only:level","","custom-callback-review;settlement"
"mysticalfire","Special","Fire","data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:level;implemented:tm;implemented:tutor","","settlement;state"
"mysticalpower","Special","Psychic","data-only:level","","settlement;state"
"nastyplot","Status","Dark","data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:tm","","state"
"naturalgift","Physical","Normal","data-only:egg;data-only:legacy;data-only:level;implemented:egg;implemented:legacy;implemented:level","","custom-callback-review;settlement"
"naturepower","Status","Normal","data-only:tm;implemented:egg;implemented:level;implemented:tm","","custom-callback-review"
"naturesmadness","Special","Fairy","data-only:level","","custom-callback-review;settlement"
"needlearm","Physical","Grass","implemented:level","","settlement;state"
"neverendingnightmare","Physical","Ghost","","Z","settlement;special-system"
"nightdaze","Special","Dark","data-only:level;implemented:level","","settlement;state"
"nightmare","Status","Ghost","data-only:legacy;data-only:level;implemented:egg;implemented:legacy;implemented:level","","state"
"nightshade","Special","Ghost","data-only:level;data-only:tm;implemented:egg;implemented:legacy;implemented:level;implemented:tm","","health-operation;settlement"
"nightslash","Physical","Dark","data-only:level;implemented:egg;implemented:level;implemented:tm","","settlement"
"nobleroar","Status","Normal","data-only:level;implemented:level","","state"
"noretreat","Status","Fighting","implemented:level","","custom-callback-review;state"
"noxioustorque","Physical","Poison","","","settlement;state"
"nuzzle","Physical","Electric","data-only:level;implemented:egg;implemented:level","","settlement;state"
"oblivionwing","Special","Flying","data-only:level","","health-operation;settlement"
"obstruct","Status","Dark","implemented:level","","custom-callback-review;state;timing"
"oceanicoperetta","Special","Water","","Z","settlement;special-system"
"octazooka","Special","Water","implemented:egg;implemented:level;implemented:special","","settlement;state"
"octolock","Status","Fighting","implemented:level","","custom-callback-review;state"
"odorsleuth","Status","Normal","implemented:egg;implemented:level;implemented:special","","custom-callback-review;state"
"ominouswind","Special","Ghost","data-only:level;data-only:tm;data-only:tutor;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","settlement;state"
"orderup","Physical","Dragon","implemented:level","","custom-callback-review;settlement"
"originpulse","Special","Water","data-only:level","","settlement"
"outrage","Physical","Dragon","data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","custom-callback-review;settlement;state"
"overdrive","Special","Electric","implemented:level","","settlement"
"overheat","Special","Fire","data-only:level;data-only:tm;implemented:form_change;implemented:level;implemented:tm","","settlement;state"
"painsplit","Status","Normal","data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","custom-callback-review"
"paleowave","Special","Rock","","","settlement;state"
"paraboliccharge","Special","Electric","data-only:level;implemented:egg;implemented:level","","health-operation;settlement"
"partingshot","Status","Dark","data-only:level;implemented:egg;implemented:level;implemented:tm","","custom-callback-review;switch"
"payback","Physical","Dark","data-only:level;data-only:tm;implemented:level;implemented:tm","","custom-callback-review;settlement"
"payday","Physical","Normal","data-only:tm;implemented:level;implemented:tm","","settlement"
"peck","Physical","Flying","data-only:level;implemented:egg;implemented:legacy;implemented:level","","settlement"
"perishsong","Status","Normal","data-only:level;implemented:egg;implemented:level","","custom-callback-review"
"petalblizzard","Physical","Grass","data-only:tm;implemented:egg;implemented:level;implemented:tm","","settlement"
"petaldance","Special","Grass","implemented:egg;implemented:level;implemented:special","","custom-callback-review;settlement;state"
"phantomforce","Physical","Ghost","data-only:level;data-only:special;data-only:tm;implemented:level;implemented:tm","","custom-callback-review;settlement;timing"
"photongeyser","Special","Psychic","data-only:level","","custom-callback-review;settlement"
"pikapapow","Special","Electric","","","custom-callback-review;settlement"
"pinmissile","Physical","Bug","data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:tm","","settlement;timing"
"plasmafists","Physical","Electric","data-only:level","","field;settlement"
"playnice","Status","Normal","implemented:level;implemented:tm","","state"
"playrough","Physical","Fairy","data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:level;implemented:tm;implemented:tutor","","settlement;state"
"pluck","Physical","Flying","data-only:egg;data-only:level;data-only:tm;implemented:level;implemented:tm","","custom-callback-review;settlement"
"poisonfang","Physical","Poison","data-only:level;implemented:egg;implemented:level","","settlement;state"
"poisongas","Status","Poison","data-only:level;implemented:legacy;implemented:level","","state"
"poisonjab","Physical","Poison","data-only:level;data-only:tm;data-only:tutor;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","settlement;state"
"poisonpowder","Status","Poison","data-only:level;implemented:egg;implemented:level","","state"
"poisonsting","Physical","Poison","implemented:egg;implemented:level","","settlement;state"
"poisontail","Physical","Poison","data-only:level;data-only:tm;implemented:egg;implemented:legacy;implemented:level;implemented:tm","","settlement;state"
"pollenpuff","Special","Bug","data-only:tm;implemented:level;implemented:tm","","custom-callback-review;settlement"
"poltergeist","Physical","Ghost","data-only:tm;data-only:tutor;implemented:tm;implemented:tutor","","custom-callback-review;settlement"
"populationbomb","Physical","Normal","implemented:level","","settlement;timing"
"pounce","Physical","Bug","data-only:tm;implemented:tm","","settlement;state"
"pound","Physical","Normal","data-only:level;implemented:level;implemented:tm","","settlement"
